date	state	King	Snohomish	Pierce	Ann Arbor	Boston	San Diego	DC	USA
2021-07-07	4.9876108277942	4.99359620744233	5.18164559447371	0	3.19462205196184	2.84980394917929	0.996375464965481	2.14784206897226	5.79609418025967
2021-07-08	5.0334301192625	4.90599871050977	5.18107910148239	0	3.07448056899592	2.84322849689378	1.02977840419293	2.11577234180528	5.84414450473155
2021-07-09	5.08482327891718	4.81989159727265	5.18106651770835	0	2.95956960051173	2.83875898073143	1.06735050453071	2.08818479945933	5.90481335400289
2021-07-10	5.14212120818429	4.73573532375279	5.18193105239975	0	2.84979943142311	2.83626288329894	1.10916827823899	2.06491433861945	5.97840857523799
2021-07-11	5.20565480848989	4.65399034597205	5.18399591480472	0	2.74508034664395	2.83560768720303	1.15530823757794	2.0457958559707	6.06523801560111
2021-07-12	5.27575498126002	4.57511711995225	5.18758431417139	0.0671445358529405	2.64532263108808	2.83666087505039	1.20584689480772	2.03066424819814	6.16560952225658
2021-07-13	5.35275262792074	4.49957610171525	5.1930194597479	0.341957624154432	2.55043656966938	2.83928992944775	1.26086076218849	2.01935441198683	6.27983094236864
2021-07-14	5.43697864989812	4.42782774728286	5.20062456078239	0.616501658851764	2.46033244730171	2.84336233300181	1.32042635198043	2.01170124402182	6.40821012310161
2021-07-15	5.52876394861818	4.36033251267693	5.21072282652299	0.890374905916129	2.37492054889893	2.84874556831929	1.3846201764437	2.00753964098818	6.55105491161974
2021-07-16	5.62843942550701	4.2975508539193	5.22363746621783	1.16317563131885	2.29411115937489	2.85530711800689	1.45351874783846	2.00670449957095	6.70867315508736
2021-07-17	5.73633598199063	4.23994322703182	5.23969168911506	1.43450210103111	2.21781456364348	2.86291446467132	1.52719857842488	2.00903071645521	6.88137270066871
2021-07-18	5.85278451949512	4.1879700880363	5.2592087044628	1.70395258102423	2.14594104661854	2.87143509091931	1.60573618046314	2.014353188326	7.06946139552813
2021-07-19	5.97812481959922	4.14206324643331	5.28247656495202	1.9712809724985	2.0784028522759	2.88076214040822	1.6891932277741	2.02253348502878	7.27320165097759
2021-07-20	6.1127321844925	4.1025399256382	5.30964269704498	2.23686371757065	2.01512006083924	2.89089140099814	1.77757204042156	2.03353986905054	7.49267413492011
