score	rank	total	btr.all	btr.obs	btr.hid	frq.all	frq.hid	frq.obs
112000	39	597	62	30	32	0.0843537414965986	0.0570409982174688	0.172413793103448
111940	49	654	65	31	34	0.0884353741496599	0.0606060606060606	0.17816091954023
111310	39	571	69	32	37	0.0938775510204082	0.0659536541889483	0.183908045977011
111170	72	734	71	33	38	0.0965986394557823	0.0677361853832442	0.189655172413793
111060	49	592	76	34	42	0.103401360544218	0.0748663101604278	0.195402298850575
110820	66	682	80	35	45	0.108843537414966	0.0802139037433155	0.201149425287356
110570	63	627	83	36	47	0.112925170068027	0.0837789661319073	0.206896551724138
110560	51	577	84	37	47	0.114285714285714	0.0837789661319073	0.21264367816092
110550	49	570	85	38	47	0.115646258503401	0.0837789661319073	0.218390804597701
110190	72	646	91	39	52	0.123809523809524	0.0926916221033868	0.224137931034483
110190	78	686	91	39	52	0.123809523809524	0.0926916221033868	0.224137931034483
110180	57	576	93	41	52	0.126530612244898	0.0926916221033868	0.235632183908046
110180	71	635	93	41	52	0.126530612244898	0.0926916221033868	0.235632183908046
109980	82	679	98	43	55	0.133333333333333	0.0980392156862745	0.247126436781609
109920	87	693	99	44	55	0.13469387755102	0.0980392156862745	0.252873563218391
109800	93	712	100	45	55	0.136054421768707	0.0980392156862745	0.258620689655172
109670	80	644	104	46	58	0.141496598639456	0.103386809269162	0.264367816091954
109590	62	567	107	47	60	0.145578231292517	0.106951871657754	0.270114942528736
109250	94	653	117	48	69	0.159183673469388	0.122994652406417	0.275862068965517
109240	105	698	118	49	69	0.160544217687075	0.122994652406417	0.281609195402299
109200	105	694	119	50	69	0.161904761904762	0.122994652406417	0.28735632183908
109020	103	681	123	51	72	0.16734693877551	0.128342245989305	0.293103448275862
108950	97	641	126	52	74	0.171428571428571	0.131907308377897	0.298850574712644
108940	96	638	127	53	74	0.172789115646259	0.131907308377897	0.304597701149425
108830	130	730	132	54	78	0.179591836734694	0.13903743315508	0.310344827586207
108800	121	701	134	55	79	0.182312925170068	0.140819964349376	0.316091954022989
108570	102	626	138	56	82	0.187755102040816	0.146167557932264	0.32183908045977
108570	119	687	138	56	82	0.187755102040816	0.146167557932264	0.32183908045977
108420	99	611	141	58	83	0.191836734693878	0.14795008912656	0.333333333333333
108150	141	717	148	59	89	0.201360544217687	0.158645276292335	0.339080459770115
108110	142	716	150	60	90	0.204081632653061	0.160427807486631	0.344827586206897
108100	106	610	151	61	90	0.205442176870748	0.160427807486631	0.350574712643678
107960	100	580	153	62	91	0.208163265306122	0.162210338680927	0.35632183908046
107910	95	563	156	63	93	0.212244897959184	0.165775401069519	0.362068965517241
107870	103	579	157	64	93	0.213605442176871	0.165775401069519	0.367816091954023
107820	142	695	160	65	95	0.217687074829932	0.169340463458111	0.373563218390805
107670	131	652	164	66	98	0.22312925170068	0.174688057040998	0.379310344827586
107630	143	683	168	67	101	0.228571428571429	0.180035650623886	0.385057471264368
107580	164	721	170	68	102	0.231292517006803	0.181818181818182	0.390804597701149
107540	142	670	173	69	104	0.235374149659864	0.185383244206774	0.396551724137931
107290	149	665	182	70	112	0.247619047619048	0.199643493761141	0.402298850574713
107260	119	573	183	71	112	0.248979591836735	0.199643493761141	0.408045977011494
106950	139	600	193	72	121	0.262585034013605	0.215686274509804	0.413793103448276
106920	134	584	194	73	121	0.263945578231292	0.215686274509804	0.419540229885057
106610	159	625	205	74	131	0.27891156462585	0.233511586452763	0.425287356321839
106610	182	688	205	74	131	0.27891156462585	0.233511586452763	0.425287356321839
106600	160	624	208	76	132	0.282993197278912	0.235294117647059	0.436781609195402
106390	179	676	211	77	134	0.287074829931973	0.238859180035651	0.442528735632184
106320	168	637	213	78	135	0.289795918367347	0.240641711229947	0.448275862068966
106300	212	731	214	79	135	0.291156462585034	0.240641711229947	0.454022988505747
106100	144	575	216	80	136	0.293877551020408	0.242424242424242	0.459770114942529
105510	190	667	225	81	144	0.306122448979592	0.25668449197861	0.46551724137931
105440	171	616	226	82	144	0.307482993197279	0.25668449197861	0.471264367816092
105220	152	569	231	83	148	0.314285714285714	0.263814616755793	0.477011494252874
105010	174	596	238	84	154	0.323809523809524	0.274509803921569	0.482758620689655
104940	171	582	241	85	156	0.327891156462585	0.27807486631016	0.488505747126437
104620	177	581	248	86	162	0.337414965986395	0.288770053475936	0.494252873563218
104430	217	673	251	87	164	0.341496598639456	0.292335115864528	0.5
104410	213	663	252	88	164	0.342857142857143	0.292335115864528	0.505747126436782
104300	192	605	254	89	165	0.345578231292517	0.294117647058824	0.511494252873563
104170	206	633	257	90	167	0.349659863945578	0.297682709447415	0.517241379310345
103960	198	606	261	91	170	0.355102040816327	0.303030303030303	0.522988505747126
103920	228	671	263	92	171	0.357823129251701	0.304812834224599	0.528735632183908
103650	235	669	272	93	179	0.370068027210884	0.319073083778966	0.53448275862069
103580	228	650	274	94	180	0.372789115646258	0.320855614973262	0.540229885057471
103290	207	595	280	95	185	0.380952380952381	0.329768270944742	0.545977011494253
103260	227	631	282	96	186	0.383673469387755	0.331550802139037	0.551724137931034
102970	227	622	287	97	190	0.39047619047619	0.338680926916221	0.557471264367816
102960	208	585	288	98	190	0.391836734693878	0.338680926916221	0.563218390804598
102940	285	729	289	99	190	0.393197278911565	0.338680926916221	0.568965517241379
102910	237	636	291	100	191	0.395918367346939	0.340463458110517	0.574712643678161
102690	257	668	296	101	195	0.402721088435374	0.347593582887701	0.580459770114943
102540	217	587	299	102	197	0.406802721088435	0.351158645276292	0.586206896551724
102420	228	604	301	103	198	0.40952380952381	0.352941176470588	0.591954022988506
102400	225	598	302	104	198	0.410884353741497	0.352941176470588	0.597701149425287
102300	297	718	307	105	202	0.417687074829932	0.360071301247772	0.603448275862069
101870	240	609	312	106	206	0.424489795918367	0.367201426024955	0.609195402298851
101680	254	621	319	107	212	0.434013605442177	0.377896613190731	0.614942528735632
101130	264	617	332	108	224	0.451700680272109	0.399286987522282	0.620689655172414
100700	320	699	341	109	232	0.463945578231293	0.413547237076649	0.626436781609195
100630	254	588	343	110	233	0.466666666666667	0.415329768270945	0.632183908045977
100390	298	655	345	111	234	0.469387755102041	0.417112299465241	0.637931034482759
100130	329	708	346	112	234	0.470748299319728	0.417112299465241	0.64367816091954
100070	269	608	347	113	234	0.472108843537415	0.417112299465241	0.649425287356322
99950	300	656	348	114	234	0.473469387755102	0.417112299465241	0.655172413793103
99570	309	664	355	115	240	0.482993197278912	0.427807486631016	0.660919540229885
99540	349	722	357	116	241	0.485714285714286	0.429590017825312	0.666666666666667
99330	354	727	360	117	243	0.489795918367347	0.433155080213904	0.672413793103448
99180	295	632	361	118	243	0.491156462585034	0.433155080213904	0.67816091954023
99010	285	613	365	119	246	0.496598639455782	0.438502673796791	0.683908045977011
98770	279	599	370	120	250	0.503401360544218	0.445632798573975	0.689655172413793
98570	339	680	376	121	255	0.51156462585034	0.454545454545455	0.695402298850575
98050	266	568	384	122	262	0.522448979591837	0.467023172905526	0.701149425287356
97460	312	607	398	123	275	0.541496598639456	0.490196078431373	0.706896551724138
96990	349	658	401	124	277	0.545578231292517	0.493761140819964	0.71264367816092
96520	388	710	406	125	281	0.552380952380952	0.500891265597148	0.718390804597701
95590	394	704	416	126	290	0.565986394557823	0.516934046345811	0.724137931034483
95530	314	591	417	127	290	0.56734693877551	0.516934046345811	0.729885057471264
95080	399	697	427	128	299	0.580952380952381	0.532976827094474	0.735632183908046
94190	441	735	440	129	311	0.598639455782313	0.554367201426025	0.741379310344828
94000	396	675	441	130	311	0.6	0.554367201426025	0.747126436781609
93380	434	720	446	131	315	0.606802721088435	0.561497326203209	0.752873563218391
93240	438	723	448	132	316	0.60952380952381	0.563279857397504	0.758620689655172
93070	427	707	451	133	318	0.613605442176871	0.566844919786096	0.764367816091954
92720	370	619	455	134	321	0.619047619047619	0.572192513368984	0.770114942528736
91140	404	642	473	135	338	0.643537414965986	0.602495543672014	0.775862068965517
89390	343	564	476	136	340	0.647619047619048	0.606060606060606	0.781609195402299
89230	413	623	496	137	359	0.674829931972789	0.639928698752228	0.78735632183908
85280	491	691	528	138	390	0.718367346938775	0.695187165775401	0.793103448275862
83300	509	702	537	139	398	0.730612244897959	0.709447415329768	0.798850574712644
81710	432	589	548	140	408	0.745578231292517	0.727272727272727	0.804597701149425
79090	544	714	563	141	422	0.765986394557823	0.75222816399287	0.810344827586207
78840	451	593	565	142	423	0.768707482993197	0.754010695187166	0.816091954022989
78610	526	690	566	143	423	0.770068027210884	0.754010695187166	0.82183908045977
78380	527	689	568	144	424	0.772789115646259	0.755793226381462	0.827586206896552
76960	501	651	572	145	427	0.778231292517007	0.761140819964349	0.833333333333333
74720	519	662	583	146	437	0.793197278911565	0.778966131907308	0.839080459770115
73300	517	645	592	147	445	0.805442176870748	0.793226381461676	0.844827586206897
72810	574	713	594	148	446	0.808163265306122	0.795008912655972	0.850574712643678
72090	518	639	599	149	450	0.814965986394558	0.802139037433155	0.85632183908046
71700	546	674	601	150	451	0.817687074829932	0.803921568627451	0.862068965517241
71030	537	659	605	151	454	0.82312925170068	0.809269162210339	0.867816091954023
67850	524	628	615	152	463	0.836734693877551	0.825311942959002	0.873563218390805
67770	536	643	616	153	463	0.838095238095238	0.825311942959002	0.879310344827586
65890	595	705	623	154	469	0.847619047619048	0.836007130124777	0.885057471264368
65860	616	726	624	155	469	0.848979591836735	0.836007130124777	0.890804597701149
65740	546	648	625	156	469	0.850340136054422	0.836007130124777	0.896551724137931
65720	480	574	626	157	469	0.851700680272109	0.836007130124777	0.902298850574713
64570	534	629	629	158	471	0.85578231292517	0.839572192513369	0.908045977011494
64210	594	696	632	159	473	0.859863945578231	0.843137254901961	0.913793103448276
62460	544	634	637	160	477	0.866666666666667	0.850267379679144	0.919540229885057
60410	582	672	642	161	481	0.873469387755102	0.857397504456328	0.925287356321839
57900	570	647	652	162	490	0.887074829931973	0.873440285204991	0.931034482758621
55860	600	678	655	163	492	0.891156462585034	0.877005347593583	0.936781609195402
54650	498	565	658	164	494	0.895238095238095	0.880570409982175	0.942528735632184
54370	578	649	660	165	495	0.897959183673469	0.882352941176471	0.948275862068966
51650	505	566	666	166	500	0.906122448979592	0.89126559714795	0.954022988505747
48510	532	583	677	167	510	0.92108843537415	0.909090909090909	0.959770114942529
31140	647	685	696	168	528	0.946938775510204	0.941176470588235	0.96551724137931
15470	604	630	706	169	537	0.960544217687075	0.957219251336898	0.971264367816092
12990	634	657	710	170	540	0.965986394557823	0.962566844919786	0.977011494252874
9970	584	603	713	171	542	0.970068027210884	0.966131907308378	0.982758620689655
8630	594	612	715	172	543	0.972789115646258	0.967914438502674	0.988505747126437
520	656	661	729	173	556	0.991836734693878	0.991087344028521	0.994252873563218
